perc_Mkt,PL,New_Delta,D100,D50,Mgn_Sensitivity
2,-55118.38266999999,-55118.38266999999,-774250,-387125,-9480165.688000001
1,-27559.191334999996,-44266.880359999996,-387125,-193562.5,-4740082.8440000005
-1,27559.191334999996,-22563.875740000003,387125,193562.5,4682205.756000001
-2,55118.38266999999,-11712.373430000007,774250,387125,9364411.512000002
-3,82677.57400499999,-860.8711200000107,1161375,580687.5,14046617.268000003
-4,110236.76533999998,9990.631189999986,1548500,774250,18728823.024000004
-5,137795.95667499996,20842.13349999998,1935625,967812.5,23411028.780000005
-10,275591.91334999993,75099.64504999996,3871250,1935625,46822057.56000001
