Symbol,Ticker,Quantity,Delta,Theta,Gamma,Vega,Rho,Type,T.Delta,T.Theta,T.Gamma,T.Vega,T.Rho,Spot
MAR Jun 23 '17 $101 Put,MAR,-20,-0.22,-0.065,0.075,0.049,-0.006,Put,440.00000000000006,130,-150,-98,12,104.13
MCD Jun 16 '17 $155 Call,MCD,-50,0.025,-0.019,0.027,0.007,0,Call,-125,95,-135,-35,-0,153.73
MCD Jun 23 '17 $146 Put,MCD,-60,-0.12,-0.044,0.049,0.049,-0.004,Put,719.9999999999999,263.99999999999994,-294,-294,24,153.73
MCD Jun 30 '17 $147 Put,MCD,-30,-0.213,-0.044,0.06,0.093,-0.013,Put,639,131.99999999999997,-179.99999999999997,-279,38.99999999999999,153.73
MMM Jun 16 '17 $207.50 Put,MMM,-25,-0.164,-0.154,0.094,0.039,-0.002,Put,410.00000000000006,385,-235,-97.5,5,212.86
MMM Jun 23 '17 $207.50 Call,MMM,-25,0.725,-0.083,0.075,0.112,0.037,Call,-1812.5,207.50000000000003,-187.5,-280,-92.5,212.86
NFLX Jun 16 '17 $170 Call,NFLX,-20,0.009,-0.019,0.003,0.003,0,Call,-18,38,-6,-6,-0,155.03
NFLX Jun 30 '17 $155 Put,NFLX,-20,-0.606,-0.11,0.043,0.123,-0.036,Put,1212,220.00000000000003,-85.99999999999999,-246,72,155.03
NVDA Jun 23 '17 $145 Put,NVDA,-50,-0.265,-0.218,0.028,0.078,-0.01,Put,1325,1090,-140,-390,50,159.47
NVDA Jun 30 '17 $142 Put,NVDA,-50,-0.238,-0.149,0.02,0.099,-0.016,Put,1189.9999999999998,744.9999999999999,-100,-495,80,159.47
NVDA Jun 30 '17 $144 Put,NVDA,-20,-0.28,-0.161,0.022,0.107,-0.018,Put,560,322,-43.99999999999999,-214,36,159.47
PXD Jun 16 '17 $157.50 Put,PXD,-40,-0.068,-0.127,0.026,0.016,-0.001,Put,272,508,-104,-64,4,155.03
PXD Jun 16 '17 $175 Call,PXD,-40,0.027,-0.047,0.012,0.008,0,Call,-108,188,-48,-32,-0,155.03
SPY Jun 16 '17 $240.50 Put,SPY,-30,-0.141,-0.123,0.093,0.042,-0.002,Put,422.99999999999994,369,-279,-126,6,242.95
SPY Jun 16 '17 $241 Put,SPY,-60,-0.174,-0.138,0.116,0.048,-0.002,Put,1044,828.0000000000001,-696,-288,12,242.95
SPY Jun 16 '17 $244.50 Call,SPY,-20,0.416,-0.232,0.315,0.059,0.004,Call,-832,464.00000000000006,-630,-118,-8,242.95
SPY Jun 16 '17 $247 Call,SPY,-50,0.028,-0.015,0.044,0.012,0,Call,-140,75,-219.99999999999997,-60,-0,242.95
UAL Jun 16 '17 $85 Call,UAL,-60,0.014,-0.015,0.011,0.002,0,Call,-84,89.99999999999999,-65.99999999999999,-12,-0,77.59
UAL Jun 23 '17 $77 Put,UAL,-100,-0.427,-0.08,0.109,0.048,-0.008,Put,4270,800,-1090,-480,80,77.59
UAL Jun 23 '17 $84 Call,UAL,-30,0.055,-0.022,0.029,0.014,0.001,Call,-165,65.99999999999999,-87,-42,-3,77.59
UAL Jun 23 '17 $85 Call,UAL,-20,0.049,-0.022,0.024,0.013,0.001,Call,-98,43.99999999999999,-48,-26,-2,77.59
UAL Jun 30 '17 $77.50 Put,UAL,-40,-0.479,-0.06,0.085,0.065,-0.015,Put,1916,240,-340.00000000000006,-260,60,77.59
UAL Jun 30 '17 $82 Call,UAL,-50,0.182,-0.037,0.058,0.043,0.006,Call,-910,185,-290.00000000000006,-215,-30,77.59
UAL Jul 07 '17 $77 Put,UAL,-50,-0.443,-0.049,0.069,0.077,-0.02,Put,2215,245.00000000000003,-345,-385,100,77.59
UNP Jun 16 '17 $113 Call,UNP,-40,0.032,-0.018,0.042,0.006,0,Call,-128,72,-168.00000000000003,-24,-0,107.62
UNP Jun 23 '17 $106 Put,UNP,-80,-0.133,-0.041,0.061,0.038,-0.004,Put,1064,328,-488,-304,32,107.62
UNP Jun 23 '17 $107 Put,UNP,-40,-0.197,-0.052,0.082,0.049,-0.005,Put,788.0000000000001,208,-328,-196,20,107.62
UNP Jun 23 '17 $114 Call,UNP,-80,0.086,-0.025,0.052,0.028,0.002,Call,-687.9999999999999,200,-416,-224.00000000000003,-16,107.62
WYNN Jun 23 '17 $124 Put,WYNN,-30,-0.072,-0.05,0.02,0.029,-0.002,Put,215.99999999999997,150,-60,-87,6,137.46
WYNN Jun 23 '17 $125 Put,WYNN,-130,-0.089,-0.058,0.024,0.035,-0.003,Put,1157,754,-312,-455.00000000000006,39,137.46
WYNN Jun 23 '17 $127 Put,WYNN,-80,-0.141,-0.078,0.035,0.048,-0.004,Put,1128,624,-280,-384,32,137.46
WYNN Jun 23 '17 $138 Call,WYNN,-30,0.227,-0.096,0.053,0.064,0.007,Call,-681,288,-159,-192,-21,137.46
WYNN Jun 23 '17 $139 Call,WYNN,-100,0.18,-0.083,0.046,0.056,0.006,Call,-1800,830.0000000000001,-459.99999999999994,-560,-60,137.46
WYNN Jun 30 '17 $139 Call,WYNN,-110,0.247,-0.073,0.043,0.089,0.014,Call,-2717,802.9999999999999,-472.99999999999994,-978.9999999999999,-154,137.46
AAPL Jun 23 '17 $150 Put,AAPL,-18,-0.845,-0.061,0.053,0.056,-0.022,Put,1521,109.79999999999998,-95.39999999999999,-100.8,39.599999999999994,145.87
