Position,Ticker,Today,Expiration,Strike,Type,Spot,Qty,P&L Today,P&L Unrealized,% P&L Unrealized,Mkt Value,$ Chg. Close,Last Trade,Bid,Ask,Cost Basis,Min. Req.,Notional,Magin Not.,Gross Margin,OOMP/C,Net Margin,Premium,Total Margin,Spot + 1%,N+Notional,NGM+,NOOMP/C+,Margin+Delta,Spot - 1%,N-Notional,NGM-,NOOMP/C-,Margin-Delta,% G/L,Gross RR,Annual,Yld / Put G,Yld / Put A,Days_Until_Expire
CVX Jun 23 '17 $108 Call,CVX,2017-06-22,2017-06-23,108,Call,104.49,-60,-198.54,-198.54,-7.47,-2820,-0.78,0.44,0.47,0.52,0.44,708,-648e3,-6269.4,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CVX Jun 23 '17 $109 Call,CVX,2017-06-22,2017-06-23,109,Call,104.49,-140,2092.42,2092.42,38.79,-3220,-0.5,0.19,0.23,0.27,0.38,1509,-1526e3,-14628.599999999999,NA,NA,NA,-7700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CVX Jun 23 '17 $102 Put,CVX,2017-06-22,2017-06-23,102,Put,104.49,-105,58.39,2950.07,65.7,-1470,0.11,0.2,0.11,0.14,0.42,1152,-1071e3,-10971.449999999999,NA,NA,NA,-5775.000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
CVX Jun 30 '17 $101 Put,CVX,2017-06-22,2017-06-30,101,Put,104.49,-60,-360,6249.37,82.77,-1260,0.1,0.25,0.16,0.21,1.25,701,-606e3,-6269.4,NA,NA,NA,-3300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
FB Jun 16 '17 $157.50 Call,FB,2017-06-22,2017-06-16,158,Call,153.91,-30,60,1519.73,94.97,-60,-0.02,0.02,0.01,0.03,0.53,458,-474e3,-4617.3,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
FB Jun 16 '17 $160 Call,FB,2017-06-22,2017-06-16,160,Call,153.91,-80,80,1392.01,86.57,-160,-0.01,0.02,0.01,0.02,0.19,960,-128e4,-12312.8,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
FB Jun 23 '17 $145 Put,FB,2017-06-22,2017-06-23,145,Put,153.91,-30,-60,3687.65,70,-1560,0.02,0.52,0.49,0.52,1.75,445,-435e3,-4617.3,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
FB Jun 23 '17 $148 Put,FB,2017-06-22,2017-06-23,148,Put,153.91,-80,-400,2855.77,24.07,-8960,0.07,1.14,1.08,1.12,1.48,948,-1184e3,-12312.8,NA,NA,NA,-4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
GS Jun 16 '17 $230 Call,GS,2017-06-22,2017-06-16,230,Call,222.49,-30,-540,-1180.25,-214.49,-1710,0.18,0.57,0.54,0.6,0.18,530,-69e4,-6674.700000000001,NA,NA,NA,-1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
GS Jun 16 '17 $210 Put,GS,2017-06-22,2017-06-16,210,Put,222.49,-153,918,2701.29,75.93,-765,-0.06,0.05,0.05,0.1,0.23,1740,-3213e3,-34040.97,NA,NA,NA,-8415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
GS Jun 16 '17 $215 Put,GS,2017-06-22,2017-06-16,215,Put,222.49,-70,1299.73,1299.73,61.53,-770,-0.14,0.11,0.09,0.15,0.3,915,-1505e3,-15574.300000000001,NA,NA,NA,-3850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6
